TrialID,BlockID,RefLoc,nTestDots,RefPaths,TestPaths,Responses,RT,TestMore,CorrectReponses
51,1,0,16,stimuli/main/ref_images/img_10_076.png,stimuli/main/test_images/img_16_476.png,-1,-1,-1,1
52,1,1,6,stimuli/main/ref_images/img_10_107.png,stimuli/main/test_images/img_06_457.png,-1,-1,-1,1
53,1,0,5,stimuli/main/ref_images/img_10_141.png,stimuli/main/test_images/img_05_491.png,-1,-1,-1,0
54,1,0,16,stimuli/main/ref_images/img_10_132.png,stimuli/main/test_images/img_16_482.png,-1,-1,-1,1
55,1,1,16,stimuli/main/ref_images/img_10_342.png,stimuli/main/test_images/img_16_492.png,-1,-1,-1,0
56,1,1,5,stimuli/main/ref_images/img_10_330.png,stimuli/main/test_images/img_05_480.png,-1,-1,-1,1
57,1,1,12,stimuli/main/ref_images/img_10_250.png,stimuli/main/test_images/img_12_500.png,-1,-1,-1,0
58,1,0,5,stimuli/main/ref_images/img_10_029.png,stimuli/main/test_images/img_05_479.png,-1,-1,-1,0
59,1,0,8,stimuli/main/ref_images/img_10_199.png,stimuli/main/test_images/img_08_499.png,-1,-1,-1,0
60,1,0,5,stimuli/main/ref_images/img_10_036.png,stimuli/main/test_images/img_05_486.png,-1,-1,-1,0
61,1,1,8,stimuli/main/ref_images/img_10_206.png,stimuli/main/test_images/img_08_456.png,-1,-1,-1,1
62,1,0,8,stimuli/main/ref_images/img_10_178.png,stimuli/main/test_images/img_08_478.png,-1,-1,-1,0
63,1,1,12,stimuli/main/ref_images/img_10_012.png,stimuli/main/test_images/img_12_462.png,-1,-1,-1,0
64,1,0,6,stimuli/main/ref_images/img_10_044.png,stimuli/main/test_images/img_06_494.png,-1,-1,-1,0
65,1,1,10,stimuli/main/ref_images/img_10_207.png,stimuli/main/test_images/img_10_457.png,-1,-1,-1,1
66,1,1,12,stimuli/main/ref_images/img_10_026.png,stimuli/main/test_images/img_12_476.png,-1,-1,-1,0
67,1,1,16,stimuli/main/ref_images/img_10_202.png,stimuli/main/test_images/img_16_452.png,-1,-1,-1,0
68,1,1,5,stimuli/main/ref_images/img_10_267.png,stimuli/main/test_images/img_05_467.png,-1,-1,-1,1
69,1,1,6,stimuli/main/ref_images/img_10_226.png,stimuli/main/test_images/img_06_476.png,-1,-1,-1,1
70,1,1,12,stimuli/main/ref_images/img_10_187.png,stimuli/main/test_images/img_12_487.png,-1,-1,-1,0
71,2,1,20,stimuli/main/ref_images/img_10_273.png,stimuli/main/test_images/img_20_473.png,-1,-1,-1,0
72,2,1,8,stimuli/main/ref_images/img_10_017.png,stimuli/main/test_images/img_08_467.png,-1,-1,-1,1
73,2,1,6,stimuli/main/ref_images/img_10_016.png,stimuli/main/test_images/img_06_466.png,-1,-1,-1,1
74,2,1,16,stimuli/main/ref_images/img_10_314.png,stimuli/main/test_images/img_16_464.png,-1,-1,-1,0
75,2,1,20,stimuli/main/ref_images/img_10_098.png,stimuli/main/test_images/img_20_498.png,-1,-1,-1,0
76,2,0,8,stimuli/main/ref_images/img_10_115.png,stimuli/main/test_images/img_08_465.png,-1,-1,-1,0
77,2,0,10,stimuli/main/ref_images/img_10_102.png,stimuli/main/test_images/img_10_452.png,-1,-1,-1,0
78,2,1,12,stimuli/main/ref_images/img_10_299.png,stimuli/main/test_images/img_12_499.png,-1,-1,-1,0
79,2,0,8,stimuli/main/ref_images/img_10_143.png,stimuli/main/test_images/img_08_493.png,-1,-1,-1,0
80,2,0,6,stimuli/main/ref_images/img_10_121.png,stimuli/main/test_images/img_06_471.png,-1,-1,-1,0
81,2,1,8,stimuli/main/ref_images/img_10_129.png,stimuli/main/test_images/img_08_479.png,-1,-1,-1,1
82,2,0,10,stimuli/main/ref_images/img_10_039.png,stimuli/main/test_images/img_10_489.png,-1,-1,-1,0
83,2,0,6,stimuli/main/ref_images/img_10_261.png,stimuli/main/test_images/img_06_461.png,-1,-1,-1,0
84,2,1,5,stimuli/main/ref_images/img_10_008.png,stimuli/main/test_images/img_05_458.png,-1,-1,-1,1
85,2,0,12,stimuli/main/ref_images/img_10_005.png,stimuli/main/test_images/img_12_455.png,-1,-1,-1,1
86,2,1,16,stimuli/main/ref_images/img_10_167.png,stimuli/main/test_images/img_16_467.png,-1,-1,-1,0
87,2,0,8,stimuli/main/ref_images/img_10_066.png,stimuli/main/test_images/img_08_466.png,-1,-1,-1,0
88,2,0,10,stimuli/main/ref_images/img_10_284.png,stimuli/main/test_images/img_10_484.png,-1,-1,-1,0
89,2,0,6,stimuli/main/ref_images/img_10_219.png,stimuli/main/test_images/img_06_469.png,-1,-1,-1,0
